"","Team","HomeGames","HomeTotal","HomeAverage","HomePct"
"1","Arizona","81",2036216,25138,0.518106308868691
"2","Atlanta","81",2020914,24949,0.503146049288105
"3","Baltimore","81",2172344,26819,0.58338952818081
"4","Boston","81",2955434,36486,0.961448259506179
"5","Chicago Cubs","81",3232420,39906,0.966996219831346
"6","Chicago White Sox","80",1746293,21828,0.537436907546473
"7","Cincinnati","81",1894085,23383,0.552541411659066
"8","Cleveland","81",1591667,19650,0.557842441447835
"9","Colorado","81",2602524,32129,0.637505456565737
"10","Detroit","80",2493859,31173,0.754849020509964
"11","Houston","81",2306623,28476,0.683270947307803
"12","Kansas City","81",2557712,31576,0.833073899163655
"13","LA Angels","81",3016142,37236,0.81867950662885
"14","LA Dodgers","81",3703312,45719,0.816410714285714
"15","Miami","80",1712417,21405,0.582575798813347
"16","Milwaukee","81",2314614,28575,0.681980906921241
"17","Minnesota","81",1963912,24245,0.623729772838363
"18","NY Mets","80",2789602,34870,0.831782834788417
"19","NY Yankees","81",3063405,37819,0.761834736714879
"20","Oakland","81",1521506,18784,0.535660307411526
"21","Philadelphia","81",1915144,23643,0.541637075897459
"22","Pittsburgh","80",2249021,28112,0.73280850841979
"23","San Diego","81",2351426,29029,0.722797669438773
"24","San Francisco","81",3365256,41546,0.991196469044495
"25","Seattle","81",2267928,27999,0.583762483581094
"26","St. Louis","81",3444490,42524,0.967003979533826
"27","Tampa Bay","81",1286163,15878,0.511500547645126
"28","Texas","81",2710402,33461,0.695452467057405
"29","Toronto","81",3392299,41880,0.849803173572501
"30","Washington","81",2481938,30641,0.741679374531019
