state,fullstate,totalspending,population,tourismbudget,tourismbudgetk,spendingpercap,spendingperdollar,percapperdollar,borderpop
AL,Alabama,7122649099.5,4779736,11600000,11600,1490.18,614.02,0.13,56588250
AK,Alaska,1720946827.77,710231,17000000,17000,2423.08,101.23,0.14,710231
AZ,Arizona,11447906153.8,6392017,12900000,12900,1790.97,887.43,0.14,59432005
AR,Arkansas,5236598972.18,2915918,15100000,15100,1795.87,346.79,0.12,38178100
CA,California,75514350527.99,37253956,50000000,50000,2027.02,1510.29,0.04,75056321
CO,Colorado,12027614216.8,5029196,14700000,14700,2391.56,818.21,0.16,37480187
CT,Connecticut,8611285675.91,3574097,22000000,22000,2409.36,391.42,0.11,41483284
DE,Delaware,1334315371.68,897934,1950000,1950,1485.98,684.26,0.76,13888533
FL,Florida,48393602595.57,18801310,56200000,56200,2573.95,861.1,0.05,18801310
GA,Georgia,17569939736.65,9687653,6800000,6800,1813.64,2583.81,0.27,9687653
HI,Hawaii,8630815720.12,1360301,75000000,75000,6344.78,115.08,0.08,19935432
ID,Idaho,2888523772.43,1567582,7200000,7200,1842.66,401.18,0.26,20790718
IL,Illinois,25133865081.1,12830632,55400000,55400,1958.9,453.68,0.04,27114575
IN,Indiana,8361885324.03,6483802,2300000,2300,1289.66,3635.6,0.56,10101781
IA,Iowa,6055567843.76,3046355,2400000,2400,1987.81,2523.15,0.83,36024770
KS,Kansas,5094463303.59,2853118,4800000,4800,1785.58,1061.35,0.37,46845017
KY,Kentucky,7107369654.8,4339367,7400000,7400,1637.88,960.46,0.22,12841098
LA,Louisiana,8673200237.76,4533372,13200000,13200,1913.19,657.06,0.14,14753484
ME,Maine,2490225547.8,1328361,9800000,9800,1874.66,254.1,0.19,49543766
MD,Maryland,11675430613.8,5773552,10400000,10400,2022.23,1122.64,0.19,22369367
MA,Massachusetts,12419161426.83,6547629,10900000,10900,1896.74,1139.37,0.17,45137772
MI,Michigan,14148068733.48,9883640,27400000,27400,1431.46,516.35,0.05,20732191
MN,Minnesota,9886644991.2,5303925,8500000,8500,1864.02,1163.13,0.22,28758256
MS,Mississippi,5842448627.95,2967297,6400000,6400,1968.95,912.88,0.31,46049307
MO,Missouri,11351073178.96,5988927,11600000,11600,1895.34,978.54,0.16,37017703
MT,Montana,2757005539.32,989415,12300000,12300,2786.5,224.15,0.23,13391668
NE,Nebraska,3639349461.57,1826341,5200000,5200,1992.7,699.87,0.38,50057321
NV,Nevada,22883441593.95,2700551,14800000,14800,8473.62,1546.18,0.57,22910068
NH,New Hampshire,2954735792.28,1316470,6900000,6900,2244.44,428.22,0.33,11438196
NJ,New Jersey,16823670542.81,8791894,9000000,9000,1913.54,1869.3,0.21,23259283
NM,New Mexico,5317375144.66,2059179,7100000,7100,2582.28,748.93,0.36,9166699
NY,New York,35903715655.05,19378102,19100000,19100,1852.8,1879.78,0.1,68110715
NC,North Carolina,15613335343.97,9535483,10450000,10450,1637.39,1494.1,0.16,53623481
ND,North Dakota,1853009704.69,672591,5100000,5100,2755.03,363.34,0.54,28520092
OH,Ohio,14451205386.75,11536504,5000000,5000,1252.65,2890.24,0.25,11536504
OK,Oklahoma,5834351158.21,3751351,10700000,10700,1555.27,545.27,0.15,35993091
OR,Oregon,7228941180.95,3831074,12000000,12000,1886.92,602.41,0.16,22126476
PA,Pennsylvania,17889413377.94,12702379,5800000,5800,1408.35,3084.38,0.24,39680677
RI,Rhode Island,1579208981.29,1052567,710000,710,1500.34,2224.24,2.11,32117119
SC,South Carolina,8938218325,4625364,13600000,13600,1932.44,657.22,0.14,30572341
SD,South Dakota,2125690831.23,814180,12200000,12200,2610.84,174.24,0.21,28056381
TN,Tennessee,12927293116.76,6346105,11700000,11700,2037.04,1104.9,0.17,31891542
TX,Texas,43328315267.42,25145561,37200000,37200,1723.1,1164.74,0.05,74952328
UT,Utah,5037881832.65,2763885,14400000,14400,1822.75,349.85,0.13,44285974
VT,Vermont,1677510617.19,625741,2900000,2900,2680.84,578.45,0.92,42978567
VA,Virginia,17705122180.55,8001024,17600000,17600,2212.86,1005.97,0.13,35268849
WV,West Virginia,2352324943.57,1852994,7700000,7700,1269.47,305.5,0.16,15112814
WI,Wisconsin,8743508891.09,5686986,14900000,14900,1537.46,586.81,0.1,29394278
WY,Wyoming,2345490458.49,563626,12600000,12600,4161.43,186.15,0.33,18875777
