Figure 3: There is a growing number of older people in the UK,,,,,
"Age structure of the UK population, mid-2020 and mid-2030",,,,,
Source: Office for National Statistics – National population projections,,,,,
age group,age label,male2020,female2020,male2030,female2030
0,0,360102,341795,333137,317318
1,1,375332,354887,336240,320214
2,2,389465,369889,340332,324147
3,3,401864,381457,344318,327944
4,4,414627,392912,348121,331523
5,5,413937,392808,351670,334892
6,6,416815,396258,353491,336646
7,7,425759,404941,353641,336784
8,8,438005,416995,357511,340308
9,9,431442,410453,363459,345674
10,10,422811,403269,381754,361571
11,11,418939,398348,396460,373927
12,12,422335,401397,409174,387294
13,13,409154,387546,420386,397639
14,14,400276,381039,432373,408159
15,15,386104,366608,431647,407470
16,16,380328,360365,435032,410691
17,17,371935,350993,445151,419719
18,18,369604,347648,459438,433184
19,19,385297,364798,456700,430170
20,20,402791,376139,453413,427866
21,21,418297,392006,454426,426527
22,22,426847,400414,462049,432738
23,23,440601,416001,452869,422732
24,24,443496,416566,446695,419134
25,25,440565,418173,433766,406262
26,26,453265,431224,428444,401065
27,27,451917,435214,419508,392184
28,28,461555,453049,415344,388075
29,29,473507,458161,426907,401943
30,30,464389,449797,438099,408013
31,31,455238,450682,447240,419684
32,32,455725,457966,450030,424180
33,33,440355,450660,458037,434984
34,34,447804,449359,456232,431844
35,35,445191,449233,449652,431149
36,36,431932,440534,459331,442413
37,37,433967,444238,455763,444825
38,38,432031,444389,463379,461111
39,39,436414,446171,473434,464853
40,40,436763,445589,462910,455613
41,41,421051,425925,452768,455730
42,42,393122,397446,452334,462239
43,43,387559,390727,436667,454243
44,44,393576,399785,444066,452105
45,45,400353,407424,441785,451349
46,46,406465,415156,428776,442256
47,47,424229,433025,430679,445467
48,48,442244,451915,428692,445398
49,49,453106,470050,432889,447062
50,50,442966,458714,433135,446181
51,51,453623,470032,417607,426512
52,52,453832,469525,389969,398023
53,53,461589,473125,383991,390729
54,54,457887,474724,389045,399116
55,55,461041,477697,394641,405963
56,56,455856,472307,399473,412654
57,57,445519,461124,415361,429222
58,58,435256,449311,431145,446648
59,59,418945,433795,439625,463047
60,60,400251,415958,427767,450674
61,61,390218,406314,435606,460071
62,62,381138,396633,433285,457937
63,63,365735,381506,437829,459762
64,64,351184,366881,431421,459529
65,65,335745,353453,431129,460319
66,66,333320,354014,423001,452831
67,67,327189,347575,410033,439722
68,68,314252,337435,397217,425956
69,69,313913,338485,379068,408580
70,70,316491,344326,358671,389001
71,71,322715,349927,345804,376956
72,72,335663,366752,333582,364703
73,73,359481,393528,315571,347346
74,74,272514,302509,298202,330281
75,75,258938,291001,280217,314194
76,76,253710,286767,272834,310252
77,77,229301,265624,262031,299699
78,78,199267,235783,245544,285608
79,79,173272,210096,238426,280493
80,80,174151,212739,232781,278552
81,81,166329,206959,228828,275358
82,82,154727,196217,228227,279567
83,83,139400,182702,232918,289066
84,84,124576,168423,167389,213247
85,85,110941,154056,149405,195390
86,86,94592,137230,136275,182026
87,87,82400,124028,113682,158119
88,88,71568,113621,90324,130484
89,89,60511,100919,71044,106985
90,90,51190,88196,63857,98533
91,91,39680,72970,53876,86098
92,92,30377,59656,43665,72304
93,93,23481,48791,33784,58730
94,94,17376,38957,25493,46469
95,95,12292,30230,18827,35871
96,96,8392,22926,13058,26464
97,97,5601,16956,9059,19418
98,98,3746,12344,6129,14105
99,99,2385,8836,3936,9699
100,100,1476,6116,2462,6392
101,101,553,2557,1372,3878
102,102,298,1494,733,2259
103,103,172,972,383,1275
104,104,94,602,186,681
105,105 - 109,97,673,136,617
106,110 and over,7,10,0,5
