Age,Males Mid-2016,Males Mid-2041,Females Mid-2016,Females Mid-2041
0,401.6,405.4,380.8,386.3
1,402.6,404.0,382.2,385.0
2,406.8,403.0,386.9,384.1
3,416.9,401.9,396.5,383.2
4,430.1,401.0,410.1,382.3
5,424.0,400.4,404.6,381.7
6,415.6,400.1,396.9,381.4
7,411.2,400.2,392.6,381.4
8,414.6,400.8,395.2,382.0
9,401.5,402.0,381.3,383.0
10,392.3,403.7,374.1,384.5
11,377.3,405.8,359.5,386.6
12,370.9,408.4,353.5,389.1
13,360.7,411.2,343.3,391.9
14,355.3,414.4,338.0,394.7
15,365.0,417.5,348.3,397.4
16,376.6,420.4,356.1,399.7
17,389.3,423.5,368.4,402.1
18,396.2,426.8,375.5,404.8
19,412.5,431.1,391.1,409.1
20,420.1,436.6,393.7,414.7
21,422.2,442.0,398.4,419.5
22,439.2,446.7,416.0,423.9
23,441.8,450.8,424.9,428.4
24,453.2,448.0,444.3,426.2
25,468.4,462.4,450.8,438.1
26,460.9,463.3,443.4,439.3
27,452.2,466.2,444.4,442.8
28,453.7,475.0,451.9,451.4
29,439.6,487.1,445.4,464.2
30,447.1,479.8,444.5,457.9
31,447.0,470.3,445.0,449.3
32,434.8,465.0,436.3,444.0
33,436.2,466.8,441.1,445.7
34,434.2,452.3,442.0,430.7
35,438.5,441.5,444.1,422.4
36,438.6,424.8,444.2,406.7
37,421.7,416.7,425.2,399.6
38,393.4,405.0,396.4,388.3
39,387.9,398.0,389.5,382.3
40,392.9,405.8,399.3,392.0
41,399.9,415.6,406.9,399.4
42,406.6,426.5,414.9,411.3
43,425.5,431.1,432.5,417.2
44,443.9,443.4,451.6,429.4
45,455.2,445.8,469.5,427.1
46,445.4,442.8,458.0,427.7
47,455.8,454.7,470.0,441.0
48,456.2,452.7,470.1,445.1
49,464.3,460.1,474.6,460.4
50,461.5,472.1,476.7,464.3
51,465.1,462.0,480.4,454.8
52,460.6,450.9,475.4,453.5
53,451.7,450.0,464.6,458.5
54,442.9,434.0,453.1,449.7
55,428.0,439.0,437.6,446.8
56,410.2,436.7,420.2,445.7
57,400.8,422.9,411.5,435.8
58,391.6,422.4,402.2,439.0
59,376.7,418.5,387.9,438.5
60,362.8,420.7,374.0,439.3
61,348.0,418.8,361.0,437.8
62,347.2,400.7,362.5,417.9
63,342.6,372.3,357.3,388.8
64,330.7,365.0,348.2,380.6
65,332.0,367.1,350.5,387.8
66,336.6,370.8,357.8,392.5
67,344.7,373.7,364.9,397.3
68,361.0,386.8,384.5,410.7
69,389.8,398.5,414.7,424.9
70,298.6,403.2,321.0,437.2
71,286.7,388.9,311.3,422.5
72,284.3,391.6,309.4,428.4
73,260.7,385.2,289.9,423.2
74,230.0,384.5,260.2,421.3
75,203.8,374.2,235.3,416.7
76,208.6,368.3,241.9,412.9
77,203.3,355.5,238.8,401.1
78,194.1,338.7,230.5,384.0
79,179.6,321.5,218.7,366.0
80,165.9,299.9,207.3,344.5
81,153.0,276.2,194.9,321.1
82,136.5,258.0,179.6,303.8
83,124.1,239.6,169.1,285.7
84,114.6,217.7,161.7,263.5
85,102.3,196.6,151.3,241.4
86,88.5,175.3,138.6,219.8
87,74.9,161.0,122.0,206.1
88,62.1,144.5,106.6,187.8
89,52.7,125.4,94.0,167.3
90,43.4,111.5,81.9,151.8
91,34.7,98.6,69.8,137.6
92,27.2,86.4,59.1,122.5
93,20.8,75.9,49.4,110.5
94,15.8,67.3,41.0,100.0
95,11.6,41.3,32.8,63.7
96,7.6,30.9,23.4,49.4
97,4.1,23.2,14.0,38.1
98,2.4,15.6,9.1,26.8
99,1.6,9.7,6.6,17.5
100,1.0,5.9,4.7,11.0
101,0.6,3.9,3.2,7.6
102,0.4,2.4,2.0,4.8
103,0.2,1.3,1.2,2.8
104,0.1,0.7,0.7,1.5
105,0.0,0.3,0.4,0.8
106,0.0,0.2,0.2,0.4
107,0.0,0.1,0.1,0.2
108,0.0,0.0,0.1,0.1
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
